index,time,channel,amplitude
534,14.0774,c_734ch,-50.63295
535,14.1234,c_113ch,-43.20153
536,14.20045,c_528ch,-22.47009
537,14.21475,c_811ch,-55.52974
538,14.2943,c_101ch,-18.04194
539,14.3017,c_868ch,-27.40209
540,14.3923,c_986ch,-22.31516
541,14.39245,c_779ch,-26.80073
542,14.4346,c_903ch,-36.87355
543,14.6115,c_743ch,-39.6816
544,14.6117,c_35ch,-32.6206
545,14.6117,c_993ch,-25.99093
546,14.6363,c_576ch,-21.73948
547,14.6367,c_1020ch,-34.80371
548,14.6966,c_700ch,-20.56491
549,14.72085,c_115ch,-25.03731
550,14.7579,c_74ch,-21.05471
551,14.76515,c_532ch,-21.18602
552,14.76985,c_874ch,-24.2853
553,14.81405,c_847ch,-22.43632
554,14.81415,c_115ch,-20.70786
555,14.85935,c_115ch,-20.33264
556,14.8594,c_699ch,-22.68962
557,14.9238,c_91ch,-24.28053
558,14.9316,c_1020ch,-18.59583
559,14.94195,c_815ch,-22.20583
560,14.9506,c_909ch,-20.83807
561,14.9965,c_926ch,-19.98623
562,15.04875,c_862ch,-35.2242
563,15.04875,c_909ch,-21.97661
564,15.0958,c_728ch,-33.05302
565,15.11435,c_528ch,-19.40066
566,15.11465,c_660ch,-29.89732
567,15.1335,c_1020ch,-20.99588
568,15.1549,c_43ch,-22.21296
569,15.1549,c_853ch,-30.59608
570,15.15535,c_986ch,-25.36525
571,15.20615,c_696ch,-38.44204
572,15.3256,c_933ch,-31.35643
573,15.3809,c_933ch,-28.48009
574,15.4132,c_815ch,-22.39457
575,15.42045,c_909ch,-25.23561
576,15.44855,c_933ch,-30.50248
577,15.4699,c_680ch,-35.23553
578,15.50275,c_633ch,-20.2031
579,15.5072,c_933ch,-25.62531
580,15.53595,c_236ch,-25.10542
581,15.54285,c_932ch,-20.981
582,15.5685,c_708ch,-18.598
583,15.56895,c_724ch,-23.47325
584,15.60285,c_724ch,-23.44352
585,15.6074,c_153ch,-39.63731
586,15.6645,c_11ch,-26.70896
